state,county,FIPS,LEVEL,ALAND_SQMI,AWATER_SQMI
CA,Orange County,06059,4.7345999999999995,790.622,157.378
CA,Placer County,06061,2.1742999999999997,1407.085,95.169
CA,Plumas County,06063,2.155,2553.062,60.382
CA,Riverside County,06065,2.8352999999999997,7206.291,96.883
CA,Sacramento County,06067,2.9232,964.94,29.372
CA,San Benito County,06069,4.5648,1388.715,1.7590000000000001
CA,San Bernardino County,06071,2.7255000000000003,20057.282,47.817
CA,San Diego County,06073,3.6661,4206.641,318.996
CA,San Francisco County,06075,1.1434,46.894,184.99599999999998
CA,San Joaquin County,06077,3.7661000000000002,1392.391,34.373000000000005
CA,San Luis Obispo County,06079,4.8706,3300.6490000000003,314.863
CA,San Mateo County,06081,1.0003,448.519,292.439
CA,Santa Barbara County,06083,5.0,2735.1479999999997,1053.987
CA,Santa Clara County,06085,2.9494,1291.2069999999999,12.847999999999999
CA,Santa Cruz County,06087,1.1427,445.163,161.997
CA,Shasta County,06089,1.1667999999999998,3775.3759999999997,72.02
CA,Sierra County,06091,2.3848000000000003,953.168,8.996
CA,Siskiyou County,06093,1.0001,6278.784000000001,69.154
CA,Solano County,06095,2.5953,821.7719999999999,84.42
CA,Sonoma County,06097,1.0345,1575.852,192.08900000000003
CA,Stanislaus County,06099,4.0,1496.0079999999998,17.906
CA,Sutter County,06101,2.0,602.418,6.071000000000001
CA,Tehama County,06103,1.9988,2949.7129999999997,12.462
CA,Trinity County,06105,1.1088,3179.268,28.343000000000004
CA,Tulare County,06107,4.957,4824.353,14.317
CA,Tuolumne County,06109,4.0635,2220.931,53.523999999999994
CA,Ventura County,06111,5.0,1843.016,365.231
CA,Yolo County,06113,2.8176,1014.7760000000001,8.76
CA,Yuba County,06115,2.0,632.038,11.969000000000001
CO,Adams County,08001,0.0,1167.292,16.125999999999998
CO,Alamosa County,08003,0.0,722.577,0.713
CO,Arapahoe County,08005,0.0,797.929,7.528
CO,Archuleta County,08007,1.0,1350.09,5.303
CO,Baca County,08009,0.0,2554.993,2.372
CO,Bent County,08011,0.0,1512.865,28.221
CO,Boulder County,08013,0.2011,726.34,14.128
CO,Broomfield County,08014,0.0,33.003,0.545
CO,Chaffee County,08015,0.0,1013.408,1.544
CO,Cheyenne County,08017,0.0,1778.276,3.153
CO,Clear Creek County,08019,0.0,395.19699999999995,1.2670000000000001
CO,Conejos County,08021,0.0535,1287.428,3.5660000000000003
CO,Costilla County,08023,0.0,1227.593,3.409
CO,Crowley County,08025,0.0,787.425,12.908
CO,Custer County,08027,0.0,738.6260000000001,1.2990000000000002
CO,Delta County,08029,0.0,1142.087,6.52
CO,Denver County,08031,0.0,153.334,1.632
CO,Dolores County,08033,0.0045000000000000005,1067.17,1.0490000000000002
CO,Douglas County,08035,0.0,840.2639999999999,2.6069999999999998
CO,Eagle County,08037,0.0,1684.515,7.278
CO,Elbert County,08039,0.0,1850.842,0.171
CO,El Paso County,08041,0.0,2126.841,2.745
CO,Fremont County,08043,0.0,1533.082,0.863
CO,Garfield County,08045,0.0,2947.535,8.272
CO,Gilpin County,08047,0.0,149.89600000000002,0.364
CO,Grand County,08049,0.2051,1846.441,23.128
CO,Gunnison County,08051,0.0,3239.1420000000003,20.489
CO,Hinsdale County,08053,0.4454,1117.231,5.917000000000001
CO,Huerfano County,08055,0.0,1591.033,2.2359999999999998
CO,Jackson County,08057,0.0567,1613.726,7.239
CO,Jefferson County,08059,0.0,764.2130000000001,9.824
CO,Kiowa County,08061,0.0,1767.809,18.16
CO,Kit Carson County,08063,0.0,2160.822,0.8690000000000001
CO,Lake County,08065,0.0,376.91900000000004,6.992999999999999
CO,La Plata County,08067,0.2721,1689.7820000000002,9.801
CO,Larimer County,08069,0.3148,2596.1820000000002,37.821
CO,Las Animas County,08071,0.0,4772.938,2.676
CO,Lincoln County,08073,0.0,2577.679,8.796
CO,Logan County,08075,0.0,1838.598,6.318
CO,Mesa County,08077,0.0,3328.9390000000003,12.135
CO,Mineral County,08079,0.9643999999999999,875.76,2.016
CO,Moffat County,08081,0.0,4743.244000000001,7.646
CO,Montezuma County,08083,0.3423,2029.279,10.575
CO,Montrose County,08085,0.0,2240.946,1.901
CO,Morgan County,08087,0.0,1280.485,13.383
CO,Otero County,08089,0.0,1261.961,7.742000000000001
CO,Ouray County,08091,0.0,541.5930000000001,0.618
CO,Park County,08093,0.0,2193.8979999999997,16.807000000000002
CO,Phillips County,08095,0.0,687.928,0.11699999999999999
CO,Pitkin County,08097,0.0,970.701,2.499
CO,Prowers County,08099,0.0,1638.394,5.928
CO,Pueblo County,08101,0.0,2386.073,11.693
CO,Rio Blanco County,08103,0.0,3220.9709999999995,1.88
CO,Rio Grande County,08105,0.0608,911.956,0.38
CO,Routt County,08107,0.0,2362.02,6.1129999999999995
CO,Saguache County,08109,0.0013,3168.566,1.72
CO,San Juan County,08111,0.0,387.51599999999996,0.7859999999999999
CO,San Miguel County,08113,0.0,1286.726,2.009
CO,Sedgwick County,08115,0.0,548.0409999999999,1.3630000000000002
CO,Summit County,08117,0.0,608.3380000000001,10.922
CO,Teller County,08119,0.0,557.043,1.909
CO,Washington County,08121,0.0,2518.084,5.872000000000001
CO,Weld County,08123,0.0031,3987.1679999999997,29.554000000000002
CO,Yuma County,08125,0.0,2364.3979999999997,4.2989999999999995
CT,Fairfield County,09001,1.1903,624.97,212.078
CT,Hartford County,09003,1.9591,735.133,15.494000000000002
CT,Litchfield County,09005,1.7520999999999998,920.49,24.09
CT,Middlesex County,09007,1.1975,369.30300000000005,69.76100000000001
CT,New Haven County,09009,1.3022999999999998,604.502,257.566
CT,New London County,09011,1.0,665.1419999999999,106.82
CT,Tolland County,09013,1.452,410.32300000000004,6.769
CT,Windham County,09015,1.0,512.877,8.381
DE,Kent County,10001,0.0,586.322,212.00900000000001
DE,New Castle County,10003,0.0,426.31800000000004,67.711
DE,Sussex County,10005,0.0,936.0930000000001,260.329
DC,District of Columbia,11001,0.0,61.145,7.194
FL,Alachua County,12001,0.0,875.054,93.755
FL,Baker County,12003,0.0,585.23,3.74
FL,Bay County,12005,0.0,758.46,274.693
FL,Bradford County,12007,0.0,293.964,6.527
FL,Brevard County,12009,0.0,1015.3919999999999,541.632
FL,Broward County,12011,0.0,1206.9560000000001,115.85700000000001
FL,Calhoun County,12013,0.0,567.3340000000001,6.979
FL,Charlotte County,12015,0.0,681.1239999999999,177.11900000000003
FL,Citrus County,12017,0.0,581.894,191.34900000000002
FL,Clay County,12019,0.0,604.808,38.739000000000004
FL,Collier County,12021,0.0,1998.77,306.207
FL,Columbia County,12023,0.0,797.543,3.7739999999999996
FL,DeSoto County,12027,0.0,637.06,2.412
FL,Dixie County,12029,0.0,705.105,158.546
FL,Duval County,12031,0.0,762.635,155.825
FL,Escambia County,12033,0.0,656.888,217.81599999999997
FL,Flagler County,12035,0.0,485.472,85.34700000000001
FL,Franklin County,12037,0.0,545.145,492.485
FL,Gadsden County,12039,0.0,516.293,12.235
FL,Gilchrist County,12041,0.0,349.695,5.545
FL,Glades County,12043,0.0,806.675,180.213
FL,Gulf County,12045,0.0,553.5880000000001,190.83700000000002
FL,Hamilton County,12047,0.0,513.7819999999999,5.274
FL,Hardee County,12049,0.0,637.79,0.556
FL,Hendry County,12051,0.0,1156.303,33.531
FL,Hernando County,12053,0.0,472.825,116.195
FL,Highlands County,12055,0.0,1016.586,89.444
FL,Hillsborough County,12057,0.0,1020.314,245.40400000000002
FL,Holmes County,12059,0.0,478.755,10.292
FL,Indian River County,12061,0.0,502.781,114.126
FL,Jackson County,12063,0.0,918.177,36.387
FL,Jefferson County,12065,0.0,598.094,38.443000000000005
FL,Lafayette County,12067,0.0,543.411,4.497
FL,Lake County,12069,0.0,940.8760000000001,216.085
FL,Lee County,12071,0.0,784.0830000000001,428.289
FL,Leon County,12073,0.0,666.865,34.924
FL,Levy County,12075,0.0,1118.232,294.562
FL,Liberty County,12077,0.0,835.563,7.561
FL,Madison County,12079,0.0,696.1060000000001,19.586
FL,Manatee County,12081,0.0,743.1560000000001,149.594
FL,Marion County,12083,0.0,1588.031,74.631
FL,Martin County,12085,0.0,543.727,209.368
FL,Miami-Dade County,12086,0.0,1898.6629999999998,532.515
FL,Monroe County,12087,0.0,983.015,2754.216
FL,Nassau County,12089,0.0,648.639,77.282
FL,Okaloosa County,12091,0.0,930.262,151.816
FL,Okeechobee County,12093,0.0,768.904,122.99700000000001
FL,Orange County,12095,0.0,903.315,99.925
FL,Osceola County,12097,0.0,1327.665,178.373
FL,Palm Beach County,12099,0.0,1969.8929999999998,413.305
FL,Pasco County,12101,0.0,747.6439999999999,120.819
FL,Pinellas County,12103,0.0,273.793,334.335
FL,Polk County,12105,0.0,1796.757,213.69299999999998
FL,Putnam County,12107,0.0,727.88,99.041
FL,Saint Johns County,12109,0.0,600.695,220.83599999999998
FL,Saint Lucie County,12111,0.0,571.677,116.164
FL,Santa Rosa County,12113,0.0,1011.76,162.017
FL,Sarasota County,12115,0.0,555.79,169.49400000000003
FL,Seminole County,12117,0.0,309.48,35.825
FL,Sumter County,12119,0.0,547.645,32.181
FL,Suwannee County,12121,0.0,688.552,3.7039999999999997
FL,Taylor County,12123,0.0,1043.302,188.895
FL,Union County,12125,0.0,243.55599999999998,6.197
FL,Volusia County,12127,0.0,1101.1789999999999,331.254
FL,Wakulla County,12129,0.0,606.422,129.306
FL,Walton County,12131,0.0,1037.72,201.875
FL,Washington County,12133,0.0,584.184,31.771
GA,Appling County,13001,0.0,507.124,5.138
GA,Atkinson County,13003,0.0,339.301,5.232
GA,Bacon County,13005,0.0,284.036,1.786
GA,Baker County,13007,0.0,341.945,7.193
GA,Baldwin County,13009,1.0,258.62,9.656
GA,Banks County,13011,3.4065,232.09099999999998,1.796
GA,Barrow County,13013,3.0,160.36700000000002,2.565
GA,Bartow County,13015,3.0,459.546,10.567
GA,Ben Hill County,13017,0.0,250.12099999999998,3.787
GA,Berrien County,13019,0.0,451.94599999999997,5.937
GA,Bibb County,13021,1.0,249.312,5.593999999999999
GA,Bleckley County,13023,0.0,215.87,3.262
GA,Brantley County,13025,0.0,442.36400000000003,4.8389999999999995
GA,Brooks County,13027,0.0,493.094,4.706
GA,Bryan County,13029,0.0,436.366,18.09
GA,Bulloch County,13031,0.0,673.046,15.579
GA,Burke County,13033,0.0,826.9680000000001,8.015
GA,Butts County,13035,2.2876,183.761,4.281000000000001
GA,Calhoun County,13037,0.0397,280.367,3.2110000000000003
GA,Camden County,13039,0.0,613.197,168.667
GA,Candler County,13043,0.0,243.053,5.805
GA,Carroll County,13045,2.1645999999999996,499.034,4.743
GA,Catoosa County,13047,3.3490999999999995,162.16299999999998,0.298
GA,Charlton County,13049,0.0,773.62,8.757
GA,Chatham County,13051,0.0,429.059,203.203
GA,Chattahoochee County,13053,1.0,248.736,2.43
GA,Chattooga County,13055,3.0,313.327,0.22
GA,Cherokee County,13057,3.0,421.11,13.305
GA,Clarke County,13059,2.5454999999999997,119.205,1.831
GA,Clay County,13061,0.628,195.382,21.855
GA,Clayton County,13063,3.0,141.64600000000002,2.725
GA,Clinch County,13065,0.0,800.2230000000001,23.771
GA,Cobb County,13067,3.0,339.69,4.828
GA,Coffee County,13069,0.0,575.447,27.203000000000003
GA,Colquitt County,13071,0.0,546.986,9.652999999999999
GA,Columbia County,13073,0.851,290.089,17.517
GA,Cook County,13075,0.0,227.201,6.002000000000001
GA,Coweta County,13077,2.9726999999999997,440.918,4.915
GA,Crawford County,13079,1.0,324.913,1.54
GA,Crisp County,13081,0.0,272.589,8.362
GA,Dade County,13083,3.8429,173.98,0.18100000000000002
GA,Dawson County,13085,3.0,210.828,3.58
GA,Decatur County,13087,0.0,597.14,26.028000000000002
GA,DeKalb County,13089,3.0,267.624,3.549
GA,Dodge County,13091,0.0,495.89599999999996,7.2170000000000005
GA,Dooly County,13093,0.0,391.94,5.343999999999999
GA,Dougherty County,13095,0.0932,328.62699999999995,5.944
GA,Douglas County,13097,2.9941000000000004,200.114,0.96
GA,Early County,13099,0.0,512.594,3.752
GA,Echols County,13101,0.0,414.894,5.825
GA,Effingham County,13103,0.0,477.704,5.226
GA,Elbert County,13105,3.023100000000001,351.05699999999996,23.159000000000002
GA,Emanuel County,13107,0.0,680.6060000000001,9.576
GA,Evans County,13109,0.0,182.863,4.006
GA,Fannin County,13111,2.9734999999999996,387.07099999999997,5.236000000000001
GA,Fayette County,13113,3.0,194.363,4.96
GA,Floyd County,13115,3.0,509.923,8.542
GA,Forsyth County,13117,3.0,224.097,23.023000000000003
GA,Franklin County,13119,3.7198,261.508,4.9430000000000005
GA,Fulton County,13121,3.0,526.714,7.636
GA,Gilmer County,13123,3.0,426.25,4.705
GA,Glascock County,13125,0.5165,143.74,0.713
GA,Glynn County,13127,0.0,419.798,165.45
GA,Gordon County,13129,3.0,355.80800000000005,2.235
GA,Grady County,13131,0.0,454.534,5.729
GA,Greene County,13133,1.9101,387.435,18.776
GA,Gwinnett County,13135,3.0,430.439,6.32
GA,Habersham County,13137,3.0,276.741,2.285
GA,Hall County,13139,3.0,392.784,36.510999999999996
GA,Hancock County,13141,1.0,471.06699999999995,6.749
GA,Haralson County,13143,2.428,282.165,1.01
GA,Harris County,13145,1.3822,463.88699999999994,9.068999999999999
GA,Hart County,13147,3.4787,232.398,24.55
GA,Heard County,13149,2.7478999999999996,296.032,5.063
GA,Henry County,13151,3.0,318.611,7.894
GA,Houston County,13153,0.5559000000000001,375.551,4.37
GA,Irwin County,13155,0.0,354.36199999999997,8.401
GA,Jackson County,13157,3.1736,339.661,3.4389999999999996
GA,Jasper County,13159,1.97,368.164,5.3
GA,Jeff Davis County,13161,0.0,330.77,4.628
GA,Jefferson County,13163,0.0,526.485,3.182
GA,Jenkins County,13165,0.0,347.279,5.194
GA,Johnson County,13167,0.0,303.01,3.582
GA,Jones County,13169,1.0327000000000002,393.93699999999995,1.48
GA,Lamar County,13171,1.5543,183.5,2.334
GA,Lanier County,13173,0.0,185.292,14.497
GA,Laurens County,13175,0.0,807.302,11.168
GA,Lee County,13177,0.7887000000000001,355.879,5.915
GA,Liberty County,13179,0.0,516.3290000000001,86.198
GA,Lincoln County,13181,1.4423,210.38,46.918
GA,Long County,13183,0.0,400.425,3.389
GA,Lowndes County,13185,0.0,496.087,14.489
GA,Lumpkin County,13187,3.0,282.933,1.264
GA,McDuffie County,13189,0.9865999999999999,257.459,8.925
GA,McIntosh County,13191,0.0,424.346,149.548
GA,Macon County,13193,0.8109000000000001,400.64,5.351
GA,Madison County,13195,3.2648,282.312,3.2760000000000002
GA,Marion County,13197,1.0,366.01599999999996,1.464
GA,Meriwether County,13199,2.6050999999999997,501.223,4.183
GA,Miller County,13201,0.0,282.421,1.242
GA,Mitchell County,13205,0.0,512.085,1.739
GA,Monroe County,13207,1.2332,396.10699999999997,2.1630000000000003
GA,Montgomery County,13209,0.0,239.52599999999998,5.167000000000001
GA,Morgan County,13211,2.315,347.355,7.266
GA,Murray County,13213,3.0,344.494,2.208
GA,Muscogee County,13215,1.0,216.422,4.584
GA,Newton County,13217,2.6597000000000004,272.198,7.0
GA,Oconee County,13219,2.6145000000000005,184.324,2.049
